"tensor(0.6212, device='cuda:0')","tensor(-0.7390, device='cuda:0')"
"tensor(0.6314, device='cuda:0')","tensor(-0.7358, device='cuda:0')"
"tensor(0.6652, device='cuda:0')","tensor(-0.7657, device='cuda:0')"
"tensor(0.4511, device='cuda:0')","tensor(-0.5715, device='cuda:0')"
"tensor(0.5958, device='cuda:0')","tensor(-0.7156, device='cuda:0')"
"tensor(0.5306, device='cuda:0')","tensor(-0.6554, device='cuda:0')"
"tensor(0.5245, device='cuda:0')","tensor(-0.6429, device='cuda:0')"
"tensor(0.6011, device='cuda:0')","tensor(-0.7160, device='cuda:0')"
"tensor(0.6261, device='cuda:0')","tensor(-0.7421, device='cuda:0')"
"tensor(0.6114, device='cuda:0')","tensor(-0.7249, device='cuda:0')"
"tensor(0.6469, device='cuda:0')","tensor(-0.7542, device='cuda:0')"
"tensor(0.4490, device='cuda:0')","tensor(-0.5600, device='cuda:0')"
"tensor(0.5506, device='cuda:0')","tensor(-0.6700, device='cuda:0')"
"tensor(0.6343, device='cuda:0')","tensor(-0.7317, device='cuda:0')"
"tensor(0.6765, device='cuda:0')","tensor(-0.7816, device='cuda:0')"
"tensor(0.5959, device='cuda:0')","tensor(-0.7131, device='cuda:0')"
"tensor(0.6354, device='cuda:0')","tensor(-0.7430, device='cuda:0')"
"tensor(0.5970, device='cuda:0')","tensor(-0.6961, device='cuda:0')"
"tensor(0.6446, device='cuda:0')","tensor(-0.7568, device='cuda:0')"
"tensor(0.6274, device='cuda:0')","tensor(-0.7431, device='cuda:0')"
"tensor(0.6458, device='cuda:0')","tensor(-0.7573, device='cuda:0')"
"tensor(0.6193, device='cuda:0')","tensor(-0.7385, device='cuda:0')"
"tensor(0.5320, device='cuda:0')","tensor(-0.6489, device='cuda:0')"
"tensor(0.6071, device='cuda:0')","tensor(-0.7181, device='cuda:0')"
"tensor(0.6372, device='cuda:0')","tensor(-0.7407, device='cuda:0')"
"tensor(0.5383, device='cuda:0')","tensor(-0.6598, device='cuda:0')"
"tensor(0.6499, device='cuda:0')","tensor(-0.7622, device='cuda:0')"
"tensor(0.6790, device='cuda:0')","tensor(-0.7826, device='cuda:0')"
"tensor(0.6337, device='cuda:0')","tensor(-0.7414, device='cuda:0')"
"tensor(0.6108, device='cuda:0')","tensor(-0.7136, device='cuda:0')"
"tensor(0.6713, device='cuda:0')","tensor(-0.7726, device='cuda:0')"
"tensor(0.6583, device='cuda:0')","tensor(-0.7561, device='cuda:0')"
"tensor(0.6227, device='cuda:0')","tensor(-0.7316, device='cuda:0')"
"tensor(0.6062, device='cuda:0')","tensor(-0.7326, device='cuda:0')"
"tensor(0.5809, device='cuda:0')","tensor(-0.6776, device='cuda:0')"
"tensor(0.5942, device='cuda:0')","tensor(-0.6874, device='cuda:0')"
"tensor(0.6221, device='cuda:0')","tensor(-0.7282, device='cuda:0')"
"tensor(0.5878, device='cuda:0')","tensor(-0.7071, device='cuda:0')"
"tensor(0.5962, device='cuda:0')","tensor(-0.6870, device='cuda:0')"
"tensor(0.7217, device='cuda:0')","tensor(-0.8268, device='cuda:0')"
"tensor(0.6508, device='cuda:0')","tensor(-0.7449, device='cuda:0')"
"tensor(0.6222, device='cuda:0')","tensor(-0.7390, device='cuda:0')"
"tensor(0.6734, device='cuda:0')","tensor(-0.7861, device='cuda:0')"
